circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
cybercity,gachibowli,gachibowli,taranagar,chanda nagar(south),general purpose,7,4,4.0,703.0,4.0
cybercity,gachibowli,gachibowli,taranagar,chandanagar main road,general purpose,7,2,2.0,413.0,3.0
cybercity,gachibowli,gachibowli,taranagar,chandanagar_main road,general purpose,7,1,1.0,82.0,5.0
cybercity,gachibowli,gachibowli,taranagar,ct meters,general purpose,7,2,2.0,15760.0,95.0
cybercity,gachibowli,gachibowli,taranagar,dube colony,general purpose,7,1,1.0,8.0,2.0
cybercity,gachibowli,gachibowli,taranagar,gangaram,general purpose,7,3,3.0,556.0,11.0
cybercity,gachibowli,gachibowli,taranagar,gopi nagar lingampally,general purpose,7,5,4.0,985.0,9.0
cybercity,gachibowli,gachibowli,taranagar,gulmohar & dube colony,general purpose,7,1,1.0,32.0,1.0
cybercity,gachibowli,gachibowli,taranagar,huda colony,general purpose,7,6,6.0,213.0,7.5
cybercity,gachibowli,gachibowli,taranagar,nallagandla_village,general purpose,7,3,3.0,218.0,4.0
cybercity,gachibowli,gachibowli,taranagar,nehru nagar lingampally,general purpose,7,1,1.0,0.0,1.0
cybercity,gachibowli,gachibowli,taranagar,nethagi nagar,general purpose,7,4,3.0,378.0,13.0
cybercity,gachibowli,gachibowli,taranagar,non ct meters,general purpose,7,1,1.0,489.0,5.0
cybercity,gachibowli,gachibowli,taranagar,old lingampally,general purpose,7,2,1.0,43.0,6.0
cybercity,gachibowli,gachibowli,taranagar,papi reddy nagar,general purpose,7,3,3.0,348.0,3.0
cybercity,gachibowli,gachibowli,taranagar,papireddy nagar,general purpose,7,4,3.0,232.0,5.0
cybercity,gachibowli,chanda nagar,chanda nagar,bhel ex-coop hsg soc,general purpose,7,1,1.0,184.0,5.0
cybercity,gachibowli,chanda nagar,chanda nagar,hafeez pet(old),general purpose,7,5,5.0,1433.0,10.0
