circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GANGA NAGAR,GENERAL PURPOSE,7,1,1.0,17.0,1.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,MOTHI NAGAR,GRC HV MOTINAGAR,GENERAL PURPOSE,7,5,5.0,4180.0,26.48
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,NEW VENKATESHWARA NAGAR,GENERAL PURPOSE,7,3,2.0,1209.0,7.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,PANJAGUTTA POLICE QRTS.,GENERAL PURPOSE,7,1,1.0,494.0,5.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.2 MAIN ROAD,GENERAL PURPOSE,7,1,1.0,249.0,5.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.5&6 D.K.BASTI &APARTMENTS,GENERAL PURPOSE,7,2,1.0,25.0,2.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,RD.7 INDIVIDUAL SERVICES,GENERAL PURPOSE,7,2,2.0,407.0,6.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO 8 9 AND 10,GENERAL PURPOSE,7,1,1.0,750.0,3.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,ROAD NO. 11,GENERAL PURPOSE,7,3,2.0,285.0,11.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SHOWKATH NGR & KBR PARK LINE,GENERAL PURPOSE,7,2,2.0,335.0,11.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,SINGADI KUNTA ,GENERAL PURPOSE,7,4,4.0,1361.0,14.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,UDAYANAGAR,GENERAL PURPOSE,7,2,2.0,391.0,1.2
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,ABN&BJR&NNN&PATEL NAGAR,GENERAL PURPOSE,7,1,1.0,-78.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,BALREDDY NAGAR,GENERAL PURPOSE,7,3,3.0,352.0,3.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,D.D.N - VINAYAK NAGAR,GENERAL PURPOSE,7,2,2.0,0.0,2.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GOVT SERVICES,GENERAL PURPOSE,7,5,5.0,61.0,22.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC,GENERAL PURPOSE,7,1,1.0,6471.0,40.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC HIGH VALUES RDNO-12,GENERAL PURPOSE,7,3,3.0,12072.0,145.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GRC-FILM NGR-MLA COLONY,GENERAL PURPOSE,7,1,1.0,1855.0,35.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,GYANI JAIL SINGH NAGAR,GENERAL PURPOSE,7,1,1.0,5.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,"J HILLS,78,79,80,81,82",GENERAL PURPOSE,7,1,,0.0,1.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,JUBILEE HILLS ROAD NO.92,GENERAL PURPOSE,7,2,2.0,445.0,6.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,M L A COLONY,GENERAL PURPOSE,7,2,2.0,533.0,2.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,M.G NAGAR,GENERAL PURPOSE,7,3,3.0,239.0,4.0
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,FILM NAGAR,MRNC COLONY,GENERAL PURPOSE,7,3,1.0,265.0,3.0
